ID,title,price,state,remarke,last
3300128,ONE PIECE TREASURE CRUISE WORLD JOURNEY vol.3 -DRACULE.MIHAWK-,"1,320円",未開封,,
3305365,ONE PIECE TREASURE CRUISE WORLD JOURNEY vol.3 -CROCODILE-,"1,100円",未開封,,
3548944,ONE PIECE TREASURE CRUISE WORLD JOURNEY vol.3 -DRACULE.MIHAWK-,"1,100円",未開封,箱イタミ有,
4194254,ONE PIECE LOG FILE SELECTION-WORST GENERATION- vol.1 モンキー・D・ルフィ,990円,未開封,,
4194255,ONE PIECE LOG FILE SELECTION-WORST GENERATION- vol.1 モンキー・D・ルフィ,990円,未開封,,
4019681,ONE PIECE MANHOOD -EDWARD.NEWGATE- A,"2,200円",未開封,,1点
4135314,ONE PIECE magazine FIGURE ～夢の一枚#2～ vol.2 サボ,"1,320円",未開封,,
4054304,ONE PIECE MANHOOD -EDWARD.NEWGATE- B,"1,100円",未開封,,1点
4061713,ONE PIECE TREASURE CRUISE WORLD JOURNEY vol.6 -SABO-,"1,320円",未開封,,
3800850,ONE PIECE ワールドコレクタブルフィギュア vol.20 TV163 サボ,990円,未開封,,1点
3948487,一番くじ ONE PIECE Legends over Time A賞 モンキー・D・ルフィ フィギュア ～ロジャーマントver.～,"2,200円",未開封,,1点
3968362,ONE PIECE MAXIMATIC THE MONKEY.D.LUFFY II,"1,210円",未開封,箱イタミ有,1点
4397052,ONE PIECE  Sweet Style Pirates -NICO ROBIN- A,"1,540円",未開封,,
4272414,ONE PIECE DXF～THE GRANDLINE MEN～ ワノ国 vol.9 エドワード・ニューゲート(白ひげ),"1,760円",未開封,,
4274226,ONE PIECE LOG FILE SELECTION-WORST GENERATION- vol.2 ユースタス・キッド,"1,320円",未開封,,
4278856,ONE PIECE LOG FILE SELECTION-WORST GENERATION- vol.2 ユースタス・キッド,"1,210円",未開封,箱イタミ有,
4282546,ONE PIECE magazine FIGURE ～夢の一枚#2～ vol.1 ポートガス・D・エース,"1,100円",未開封,箱イタミ有,
4328363,アミューズメント一番くじ ONE PIECE BWFC 造形王頂上決戦 3 SUPER MASTER STARS PIECE THE MONKEY.D.LUFFY GEAR4 THE ORIGINAL賞 モンキー・D・ルフィ ギア4,"4,950円",未開封,,1点
4331754,ONE PIECE DXF ～THE GRANDLINE LADY～ ワノ国 vol.5 ヤマト,"1,650円",未開封,,
4331790,ONE PIECE DXF ～THE GRANDLINE LADY～ ワノ国 vol.4 光月日和,990円,未開封,,
4295852,ONE PIECE Grandista -THE GRANDLINE MEN- SABO,"1,100円",未開封,,
4298016,ONE PIECE TREASURE CRUISE WORLD JOURNEY vol.6 -SABO-,"1,100円",未開封,箱イタミ有,
4298090,ONE PIECE TREASURE CRUISE WORLD JOURNEY vol.5 -MARCO-,"1,650円",未開封,,
4300056,ONE PIECE MAXIMATIC THE TRAFALGAR.LAW I,770円,未開封,,
4306945,ONE PIECE magazine FIGURE ～夢の一枚#2～ vol.2 サボ,"1,210円",未開封,箱イタミ有,
